Instance type,vCPU,Memory (GiB),Network baseline/burst bandwidth (Gbit/s),Packet forwarding rate (pps),Connections,NIC queues,ENIs,Private IP addresses per ENI,Disk IOPS,Disk bandwidth (Gbit/s),Baseline CPU performance,CPU credits per hour,Max CPU credit balance,Local storage (GiB),Baseline bandwidth of the cloud disk (Gbit/s),Network bandwidth (Gbit/s),Bandwidth (Gbit/s),Baseline storage IOPS,CPU credits per hour,Max CPU credit balance,GPU,GPU memory
ecs.t6-c4m1.large,2,0.5,0.08/burstable up to 0.4,40000,N/A,1,2,2,N/A,N/A,0.05,6,144,N/A,N/A,,,N/A,,,,
ecs.t6-c2m1.large,2,1,0.08/burstable up to 0.6,60000,N/A,1,2,2,N/A,N/A,0.1,12,288,N/A,N/A,,,N/A,,,,
ecs.t6-c1m1.large,2,2,0.08/burstable up to 1,100000,N/A,1,2,2,N/A,N/A,0.2,24,576,N/A,N/A,,,N/A,,,,
ecs.t6-c1m2.large,2,4,0.08/burstable up to 1,100000,N/A,1,2,2,N/A,N/A,0.2,24,576,N/A,N/A,,,N/A,,,,
ecs.t6-c1m4.large,2,8,0.08/burstable up to 1,100000,N/A,1,2,2,N/A,N/A,0.3,36,864,N/A,N/A,,,N/A,,,,
ecs.t6-c1m4.xlarge,4,16,0.16/burstable up to 2,200000,N/A,1,2,6,N/A,N/A,0.4,96,2304,N/A,N/A,,,N/A,,,,
ecs.t6-c1m4.2xlarge,8,32,0.32/burstable up to 4,400000,N/A,1,2,6,N/A,N/A,0.4,192,4608,N/A,N/A,,,N/A,,,,
ecs.g6.large,2,8,1/burstable up to 3,"300,000","Up to 250,000",2,2,6,"10,000",1,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
ecs.g6.xlarge,4,16,1.5/burstable up to 5,"500,000","Up to 250,000",4,3,10,"20,000",1.5,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
ecs.g6.2xlarge,8,32,2.5/burstable up to 8,"800,000","Up to 250,000",8,4,10,"25,000",2,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
ecs.g6.3xlarge,12,48,4/burstable up to 10,"900,000","Up to 250,000",8,6,10,"30,000",2.5,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,
